n, bubble, insertion, selection, std::sort, quick, merge, quick hybrid
112,1.0035e-05,1.7295e-06,5.51562e-06,1.93046e-06,4.89333e-06,2.19008e-06,1.85254e-06
114,1.04212e-05,1.74862e-06,5.58337e-06,2.01154e-06,5.0305e-06,2.23688e-06,1.92667e-06
116,1.06912e-05,1.80958e-06,5.82433e-06,2.01658e-06,5.01263e-06,2.29938e-06,1.9675e-06
118,1.084e-05,1.97808e-06,6.03275e-06,2.05617e-06,5.12304e-06,2.38375e-06,2.01125e-06
120,1.12288e-05,1.89488e-06,6.01008e-06,2.18375e-06,5.35317e-06,2.38667e-06,2.08196e-06
122,1.15192e-05,1.947e-06,6.29196e-06,2.16592e-06,5.28267e-06,2.52417e-06,2.14617e-06
124,1.18368e-05,2.03138e-06,6.31254e-06,2.21846e-06,5.47067e-06,2.51221e-06,2.17325e-06
126,1.23541e-05,2.0895e-06,6.53017e-06,2.29758e-06,5.6865e-06,2.64933e-06,2.22383e-06
128,1.23668e-05,2.15625e-06,6.81608e-06,2.28254e-06,5.63838e-06,2.66267e-06,2.31529e-06
130,1.2829e-05,2.30162e-06,6.9165e-06,2.36271e-06,6.02296e-06,2.71533e-06,2.34696e-06
132,1.29747e-05,2.36858e-06,7.00346e-06,2.43529e-06,6.12112e-06,2.82871e-06,2.38446e-06
134,1.34624e-05,2.27171e-06,7.33154e-06,2.43025e-06,6.09342e-06,2.74333e-06,2.45175e-06
136,1.37481e-05,2.34558e-06,7.39471e-06,2.52171e-06,6.36354e-06,2.82875e-06,2.50704e-06
138,1.40742e-05,2.38192e-06,7.73063e-06,2.54987e-06,6.29708e-06,2.83329e-06,2.5985e-06
140,1.43167e-05,2.44363e-06,7.87867e-06,2.64783e-06,6.42875e-06,2.86775e-06,2.72158e-06
142,1.47595e-05,2.53171e-06,8.05308e-06,2.63063e-06,6.40575e-06,2.97063e-06,2.77558e-06
144,1.49047e-05,2.63983e-06,8.45571e-06,2.63296e-06,6.38117e-06,3.05992e-06,2.82242e-06
146,1.52952e-05,2.66217e-06,8.5705e-06,2.68321e-06,6.50046e-06,3.11288e-06,2.89167e-06
148,1.55164e-05,2.77467e-06,8.77063e-06,2.71354e-06,6.58617e-06,3.16037e-06,3.04563e-06
150,1.59253e-05,2.78979e-06,8.89129e-06,2.76746e-06,6.66225e-06,3.20217e-06,3.08621e-06
152,1.63161e-05,2.99742e-06,8.89646e-06,2.83088e-06,6.78062e-06,3.46762e-06,3.09142e-06
154,1.69668e-05,2.94562e-06,9.29742e-06,2.86408e-06,7.07625e-06,3.3355e-06,3.16571e-06
156,1.72413e-05,2.99008e-06,9.37425e-06,2.88258e-06,7.17946e-06,3.24567e-06,3.24871e-06
158,1.74263e-05,3.05379e-06,9.68317e-06,3.00004e-06,7.22471e-06,3.32979e-06,3.23833e-06
160,1.79792e-05,3.17342e-06,1.0009e-05,3.02562e-06,7.36067e-06,3.51954e-06,3.37517e-06
162,1.8257e-05,3.12408e-06,9.94996e-06,3.063e-06,7.38021e-06,3.616e-06,3.40458e-06
164,1.85578e-05,3.19171e-06,1.02637e-05,3.07796e-06,7.47587e-06,3.66721e-06,3.47633e-06
166,1.89212e-05,3.28425e-06,1.04729e-05,3.10042e-06,7.79917e-06,3.59746e-06,3.52963e-06
168,1.92161e-05,3.40487e-06,1.06595e-05,3.16783e-06,7.83333e-06,3.56679e-06,3.66329e-06
170,1.98288e-05,3.49313e-06,1.0882e-05,3.24562e-06,7.83425e-06,3.77588e-06,3.80712e-06
172,2.00742e-05,3.47067e-06,1.12166e-05,3.28538e-06,7.79808e-06,3.68621e-06,3.82117e-06
174,2.0566e-05,3.70125e-06,1.13229e-05,3.28938e-06,8.08604e-06,3.88538e-06,3.96379e-06
176,2.0856e-05,3.64946e-06,1.16301e-05,3.34558e-06,8.17967e-06,3.78004e-06,4.09354e-06
178,2.13056e-05,3.6945e-06,1.17736e-05,3.50212e-06,8.31875e-06,3.84025e-06,4.02075e-06
180,2.17329e-05,3.83746e-06,1.20906e-05,3.59317e-06,8.49175e-06,3.89175e-06,4.08525e-06
182,2.19879e-05,3.92788e-06,1.23402e-05,3.59004e-06,8.61975e-06,3.93713e-06,4.21079e-06
184,2.22274e-05,4.00246e-06,1.26218e-05,3.63642e-06,8.74671e-06,4.03188e-06,4.29025e-06
186,2.28052e-05,4.13521e-06,1.27461e-05,3.61713e-06,8.62775e-06,4.01442e-06,4.34875e-06
